year,station,do,ph,co,bod,na,tc,wqi
2014,3081,6.9,8,505,0.9,0.7,1563,82.04
2014,1444,7.3,7.3,109,2.4,3.4,65,88.38
2014,2780,7.5,7.5,83,2.1,2,74,88.38
2014,1894,6.4,7.2,102,1,0,1223,82.76
2014,1892,6.5,7.1,92,1,0,1342,82.76
2014,2423,7.7,7.9,232,1.3,0.8,40500,71.16
2014,2424,7.5,7.8,519,2.1,0.7,53556,70.8
2014,2425,7.3,7.2,103,0.7,1.7,13810,71.52
2014,2422,7.4,7.9,196,0.7,0.6,15213,71.34
2014,1642,7.4,7.8,244,1.9,1,12473,71.16
2014,1643,7.5,8,243,1.7,0.9,30319,71.16
2014,1455,7.2,8,296,1.5,0.7,4314,82.4
2014,1456,6.6,7.8,25034,1.5,0.9,4224,82.04
2014,2426,7.5,7.9,194,1,1,8559,82.58
2014,2427,7.4,7.9,170,0.8,0.9,16709,71.34
2014,1685,6.7,7.3,386,1.8965,0.2,468,87.66
2014,2444,5.9,7.9,21600,1.8965,0.1,468,82.04
2014,2442,6.5,7.3,21600,1.8965,0.1,468,87.66
2014,2443,6.5,7.7,26600,1.8965,0.1,468,87.66
2014,2445,6,7.1,13000,1.8965,0.4,468,87.66
2014,1450,6.5,7.4,1063,2,0.6,374,87.66
2014,1159,6.8,6.6,63,2.9,0.1,36,84.28
2014,1160,6.6,6.4,101,2.5,0.2,41,77.5
2014,1161,6.6,6.5,136,2.5,0.2,45,84.1
2014,1162,6.7,6.9,226,2.2,0.2,38,90.34
2014,1328,6.7,6.3,72,2.7,0.2,32,77.68
2014,1329,6.7,6.4,61,4.6,0.1,34,73
2014,1330,6.6,7.2,1300,2.7,0.2,60,87.66
2014,3025,6.7,7,461,2.5,0.1,51,87.66
2014,3026,6.6,6.2,69,2.5,0.1,38,77.68
2014,3027,6.8,6.9,241,2.5,0.1,48,90.34
2014,3028,6.5,6.6,159,2.4,0.2,41,83.92
2014,3029,6.6,6.7,170,2.5,0.2,34,87.22
2014,3023,0.9,7.6,2039,104.5,0.9,511090873,28.66
2014,1885,6.7,7.3,183,1.8965,0.516,468,88.2
2014,1023,5.8,7.2,640,6,4.3,4073,71.74
2014,1024,4.8,7.6,1090,22,3.6,52500,50.2
2014,1295,5.5,7.3,705,10,5,5433,67.06
2014,1473,5.1,7.4,1375,23.7,5.9,50333,55.82
2014,1698,5.5,7.4,745,10,6.1,29333,55.82
2014,1699,5,7.6,975,16.3,6.1,21667,50.2
2014,1700,4.9,7.7,1385,27.5,7.7,72000,50.2
2014,1701,5,7.3,1067,19.3,6.2,39533,50.2
